channel;category;time;title;price;marketplace;link;image;text;score
Celulares e Tecnologia;Celulares e Tecnologia;19:00 - 21:00;Celular 5G 16GB/512GB c/ Desconto;R$ 1.380,00;Mercado Livre;https://www.mercadolivre.com.br/p/MLB75208845?matt_word=marylouse&matt_tool=50459180&forceInApp=true;https://marylouse-ofertas.vercel.app/growth/pinterest/celulares.png;"📱 Oferta para Celulares e Tecnologia

Celular 5G 16GB/512GB c/ Desconto

💸 De: R$ 4.000,00
🔥 Por: R$ 1.380,00
🏷️ 66% OFF
🛒 Loja: Mercado Livre

Ver oferta: https://www.mercadolivre.com.br/p/MLB75208845?matt_word=marylouse&matt_tool=50459180&forceInApp=true

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";65
Mamãe e Bebê;Mamãe e Bebê;09:00 - 11:00;Kit 11 Peças - 5 Fraldas 60x60cm + 6 Paninho de Boca 30x30cm 100% Alg…;R$ 27,99;Shopee;https://s.shopee.com.br/9peZdbdtmp;https://marylouse-ofertas.vercel.app/growth/pinterest/mae-bebe.png;"🍼 Oferta para Mamãe e Bebê

Kit 11 Peças - 5 Fraldas 60x60cm + 6 Paninho de Boca 30x30cm 100% Alg…

💸 De: R$ 59,55
🔥 Por: R$ 27,99
🏷️ 53% OFF
🛒 Loja: Shopee

Ver oferta: https://s.shopee.com.br/9peZdbdtmp

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";55
Beleza e Cuidados;Beleza e Cuidados;12:00 - 15:00;Secador Profissional LONYAN 8020;R$ 78,00;Shopee;https://s.shopee.com.br/4B0Dx7bxdx;https://marylouse-ofertas.vercel.app/growth/pinterest/beleza.png;"💄 Oferta para Beleza e Cuidados

Secador Profissional LONYAN 8020

💸 De: R$ 159,18
🔥 Por: R$ 78,00
🏷️ 51% OFF
🛒 Loja: Shopee

Ver oferta: https://s.shopee.com.br/4B0Dx7bxdx

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";55
Moda Feminina;Moda Feminina;12:00 - 14:00;Kit 6 Peças de Roupa Infantil Menina Verão Feminino;R$ 49,90;Shopee;https://s.shopee.com.br/2BF8F2awDr;https://marylouse-ofertas.vercel.app/growth/pinterest/moda-feminina.png;"👗 Oferta para Moda Feminina

Kit 6 Peças de Roupa Infantil Menina Verão Feminino

💸 De: R$ 131,32
🔥 Por: R$ 49,90
🏷️ 62% OFF
🛒 Loja: Shopee

Ver oferta: https://s.shopee.com.br/2BF8F2awDr

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";45
Casa e Cozinha;Casa e Cozinha;18:00 - 20:00;Kit 2 Borrifadores Azeite/Vinagre;R$ 18,89;Shopee;https://s.shopee.com.br/9AOtJEJ7gX;https://marylouse-ofertas.vercel.app/growth/pinterest/casa-cozinha.png;"🍳 Oferta para Casa e Cozinha

Kit 2 Borrifadores Azeite/Vinagre

💸 De: R$ 69,96
🔥 Por: R$ 18,89
🏷️ 73% OFF
🛒 Loja: Shopee

Ver oferta: https://s.shopee.com.br/9AOtJEJ7gX

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";45
Ofertas Pet;Ofertas Pet;17:00 - 20:00;Luminária Foguete Lava Bolha Todas As Cores Decoração Retrô;R$ 125,91;Mercado Livre;https://www.mercadolivre.com.br/p/MLB75541518?matt_word=marylouse&matt_tool=50459180&forceInApp=true;https://marylouse-ofertas.vercel.app/growth/pinterest/pet.png;"🐶 Oferta para Ofertas Pet

Luminária Foguete Lava Bolha Todas As Cores Decoração Retrô

💸 De: R$ 167,88
🔥 Por: R$ 125,91
🏷️ 25% OFF
🛒 Loja: Mercado Livre

Ver oferta: https://www.mercadolivre.com.br/p/MLB75541518?matt_word=marylouse&matt_tool=50459180&forceInApp=true

⚠️ Preço e disponibilidade podem mudar.
MaryLouse Ofertas pode receber comissão por compras feitas pelos links.";45
